DOI,Title,URL,Author,Year
10.1016/j.ecoinf.2023.102151,BeingAliveLanguage: Visualizing soil information from a design perspective to enhance multidisciplinary communication,https://www.sciencedirect.com/science/article/pii/S1574954123001802,Zhao Ma and Teresa Gali-Izard,2023
10.1016/j.ecoinf.2023.102032,Automatization and evaluation of a remote sensing-based indicator for wetland health assessment in East Africa on national and local scales,https://www.sciencedirect.com/science/article/pii/S1574954123000614,Stefanie Steinbach and Esther Hentschel and Konrad Hentze and Andreas Rienow and Viviane Umulisa and Sander J. Zwart and Andrew Nelson,2023
10.1016/j.ecoinf.2023.102232,Estimation and analysis of insect population dynamics parameters via physiologically based models and hybrid genetic algorithm MCMC methods,https://www.sciencedirect.com/science/article/pii/S1574954123002613,Luca Rossini and Octavio A. Bruzzone and Stefano Speranza and Ines Delfino,2023
10.1016/j.ecoinf.2024.102643,Human-brown bear conflicts in Türkiye are driven by increased human presence around protected areas,https://www.sciencedirect.com/science/article/pii/S1574954124001857,Ercan Sıkdokur and Morteza Naderi and Elif Çeltik and M. Çisel {Kemahlı Aytekin} and Josip Kusak and İsmail K. Sağlam and Çağan H. Şekercioğlu,2024
10.1016/j.ecoinf.2022.101683,Dealing with non-equilibrium bias and survey effort in presence-only invasive Species Distribution Models (iSDM); predicting the range of muntjac deer in Britain and Ireland,https://www.sciencedirect.com/science/article/pii/S1574954122001339,Marianne S. Freeman and Jaimie T.A. Dick and Neil Reid,2022
10.1016/j.ecoinf.2024.102533,Standardizing the fish freshness class during ice storage using clustering approach,https://www.sciencedirect.com/science/article/pii/S157495412400075X,Eko Prasetyo and Nanik Suciati and Chastine Fatichah and  Aminin and Eric Pardede,2024
10.1016/j.ecoinf.2020.101151,Towards an integrated forest fire danger assessment system for the European Alps,https://www.sciencedirect.com/science/article/pii/S1574954120301011,Mortimer M. Müller and Lena Vilà-Vilardell and Harald Vacik,2020
10.1016/j.ecoinf.2023.101984,Modelling Mediterranean oak palaeolandscapes using the MaxEnt model algorithm: The case of the NE Iberia under the Middle Holocene climatic scenario,https://www.sciencedirect.com/science/article/pii/S1574954123000134,Bàrbara Mas and Santiago Riera and Ethel Allué,2023
10.1016/j.ecoinf.2024.102520,Geostatistical modeling approach for studying total soil nitrogen and phosphorus under various land uses of North-Western Himalayas,https://www.sciencedirect.com/science/article/pii/S1574954124000621,Owais Bashir and Shabir Ahmad Bangroo and Shahid Shuja Shafai and Nicola Senesi and Shuraik Kader and Saud Alamri,2024
10.1016/j.ecoinf.2024.102560,Analysis of spatiotemporal variations of drought and soil salinity via integrated multiscale and remote sensing-based techniques (Case study: Urmia Lake basin),https://www.sciencedirect.com/science/article/pii/S157495412400102X,Roghayeh Ghasempour and Mohammad Taghi Aalami and Seyed Mahdi Saghebian and V.S. Ozgur Kirca,2024
